Pattern;ID;Instances
[-1, -1, -1, -2, -2, -1];r3prd0u5e1;127
[-1, -1, -1, -1, -1, -2];k68sn02uof;126
[-3, 1, 2, 1, 2, 2];2bf2a3yced;122
[-2, -1, -2, -2, -2, -1];lv7dtm7aeu;110
[-2, -1, -1, -1, -1, -1];pghi0goc5x;106
[-2, -1, -2, -2, -1, -1];7b2ryh0s2e;98
[1, 2, 2, 2, 1, 2];yt0htbzb45;95
[2, 1, 2, 2, 2, 1];janxn6gkmj;94
[-1, -2, -2, -2, -1, -2];6sjw0i0kzw;93
[-2, -2, -1, -2, -2, -2];vqa271mzru;88
[-1, -1, -1, -1, -2, -1];06xg6x4q47;83
[-1, -1, -2, -1, -2, -1];aruwh8so82;83
[-2, -2, -2, -1, -2, -2];hiwu2n5v5n;80
[1, -1, -1, -1, -1, -1];j4xv9o9o82;78
[-1, -1, -1, -2, -1, -2];ue3mz8p5r9;73
[-1, -2, -1, -1, -1, -1];vkjippytri;73
[2, 2, 1, 2, 2, 2];6h9jb9eo9o;71
[2, 2, 2, 1, 2, 2];zv3suhltyi;71
[-1, -2, -2, -1, -1, -1];afm41109og;70
[-1, -1, -1, -2, -1, -1];qpi42qiz15;67
[1, 2, 1, 2, 2, 3];rjm5xnhqx1;64
[3, -3, 1, 2, 1, 2];hyzodowcve;62
[-2, -1, -2, -2, 2, 2];86ggrbch8t;61
[1, 1, 1, -1, -1, -1];47ixwv50wu;61
[2, 1, 2, 2, 3, -1];cnj69rfh6s;61
[-1, -1, -1, -1, -1, -1, -2];5djhcbgq2n;60
[-1, -1, -2, -2, -1, -2];zgsbjbf19o;60
[1, 2, 1, 2, 2, 2];wssyhmwqxw;60
[-2, -2, -1, -2, -2, -2, -1];cn0ru26du2;59
[-1, -2, -2, -1, -2, -1];r9e8iu8nom;58
[-2, -2, -1, -1, -1, -1];fyp0mfxc4n;58
[-1, -1, -2, -1, -2, -2];wxagva22fs;57
[-2, -2, -1, -2, -2, -1, -1];ay4c561p9y;55
[-1, -1, -2, -1, -1, -1];aw6qoxytb6;53
[-1, -2, -2, -2, -1, -2, -2];y4vlg0d2xt;53
[-2, -2, -1, -1, -1, -2];q3a3xn2qkz;53
[-1, -1, -1, -1, -1, -2, -1];ia99etpi73;52
[-1, -1, -1, -1, -2, -2];eoz7ac41n8;50
[2, -2, -2, -1, -2, -2];j0scng2ryu;50
[2, 1, 2, 2, 2, 1, 2];569kp33rf6;50
[2, 2, 1, 2, -3, 1];o7vwpo8gsf;50
[-1, -1, -1, -2, -2, -1, -2];umz7hg63hp;49
[-2, -1, -1, -1, -1, -1, -1];29c8n3qwg7;49
[-2, -1, -2, -2, -2, -1, -2];t3src2bsn2;49
[1, 1, -1, -1, -1, -1];av9ky7r2h5;49
[1, -1, -1, -1, -1, -1, -1];hpsr1v83r8;48
[-1, -2, -1, -2, -2, -1];z9z48eu85v;47
[-2, -1, -2, -1, -1, -1];mgzw5zvo1m;47
[1, 2, 1, 2, 1, 1];3z2wdjwyj0;47
[1, 2, 2, 2, 1, 2, 2];ma8imclwhl;47
[2, 2, 1, -1, -2, -2];6gbmr9efvp;47
[2, 2, 1, 2, 1, 2];20dogxzlua;47
[-2, -1, -1, -1, -2, -2];elwngp6d46;46
[-2, -2, -2, -1, -2, -1];tbqb30zjrb;45
[1, 2, 1, 1, 1, 1];tl9ymv45s7;45
[1, -1, -2, -2, -1, -2];1kmpo6xnej;44
[2, 2, 3, -3, 1, 2];7z7kz2374t;44
[-2, -2, -1, -2, -2, 2];036l5p73xs;43
[1, 2, 2, 1, 2, 2, 2];r3ja8105zi;43
[2, 1, 2, -3, 1, 2];bu6ivkw684;43
[2, 1, 2, 2, -2, -2];sv0787nrh9;43
[-2, 1, -1, -1, -1, -1];18jh2n2ntu;42
[1, 2, -3, 1, 2, 1];5dzpamkfb0;42
[2, -3, 1, 2, 1, 2];sgxipm6xw2;42
[-1, -2, -1, -1, -1, -2];cx1ar7yzi6;41
[-1, -2, -2, 2, 2, 3];bfmhhg61f5;41
[-1, -1, -1, -1, 2, 2];yrii4tgu5n;40
[2, 2, 1, 2, 2, 2, 1];krcm1p8p76;40
[-1, -2, -1, 3, 3, 3];smmktv9pt6;39
[-2, -1, 3, 3, 3, -1];o45v2holdt;39
[1, 2, 2, 3, -1, -2];ka8bjppofc;39
[2, 2, 2, 1, 2, 1];3gx33bizmk;39
[-1, -2, -1, -1, -1, -1, -1];38xqjd9lo5;38
[-2, -1, -2, -1, -2, 1];gfpb5g1lwt;38
[-2, -2, -1, -2, -2, -3];uh27odhgee;38
[-1, -2, -2, -1, -2, -2, -2];a3pdvulrrh;37
[2, 1, 2, 1, 2, 2];7u014ly4ty;37
[2, 2, 1, 2, -2, -1];6izxrap7y7;37
[-1, -2, -2, -2, -1, 3];51nzazcusl;36
[-2, -2, -1, -2, -1, -1];6b0uvo7pm1;36
[1, 2, 2, 1, 1, 1];3myamr94sb;36
[2, 1, 2, -2, -1, -2];54qlgqnn19;36
[-1, -1, -1, -2, -1, -1, -1];nag1igi5si;35
[-2, -1, -2, -1, -2, -2];y9wk06hm67;35
[1, 2, 2, 1, 2, -3];ju7cwgyptz;35
[2, -1, -1, -1, -1, -1];7msm7qqg78;35
[2, 2, -2, -2, -1, -2];vfluq91n4z;35
[-1, -1, -2, -2, -1, -2, -2];su3qugqml6;34
[-2, -1, -2, -1, 3, 3];hsucvsg60h;34
[1, -1, -1, -1, -1, -2];j2bq9jbou5;34
[1, -1, -1, -1, -2, -1];w9j9hxfs4x;34
[2, 2, 3, -1, -2, -2];41tb3gmwli;34
[3, -3, 1, 2, 1, 2, 2];mrgff1va1z;34
[-1, -1, -1, -1, -1, -3];mu8s519t9c;33
[-2, -2, -1, -2, -1, -2];fv24ckn9jy;33
[-3, 1, 2, 2, 2, 1];bfto7srza8;33
[1, -1, -2, -2, -2, -1];r8bjbn9cf4;33
[1, 2, -2, -1, -2, -1];psgdr0o6iz;33
[2, 1, -1, -2, -2, -1];txz4h9fruh;33
[3, -3, 1, 2, 2, 3];psteigqty8;33
[-2, -1, -1, -1, -2, -1];ph69ynogo5;32
[1, 2, -2, -1, -2, -2];fop1somy3n;32
[1, 2, 2, 1, 2, 1];jmeegjiu0t;32
[2, 1, 2, 2, 3, -1, -2];9kk0shyhgq;32
